time;car_heading;bearing_to_goal_north;bearing_to_goal_front_of_car;latitude;longitude;distance
18530;89.999998;128.569101;38.569104;43.610504;1.431253;21.785719
18560;147.644115;127.748803;-19.895312;43.610500;1.431254;21.493451
18580;147.644115;127.748803;-19.895312;43.610500;1.431254;21.493451
18620;144.953448;127.795842;-17.157607;43.610500;1.431254;21.470692
18640;144.953448;127.795842;-17.157607;43.610500;1.431254;21.470692
18670;144.953448;127.795842;-17.157607;43.610500;1.431254;21.470692
18690;144.953448;127.795842;-17.157607;43.610500;1.431254;21.470692
18710;144.953448;127.795842;-17.157607;43.610500;1.431254;21.470692
18740;144.953448;127.795842;-17.157607;43.610500;1.431254;21.470692
18760;144.953448;127.858715;-17.094733;43.610500;1.431255;21.440369
18780;144.953448;127.858715;-17.094733;43.610500;1.431255;21.440369
18800;144.953448;127.858715;-17.094733;43.610500;1.431255;21.440369
18840;146.728468;127.858715;-18.869753;43.610500;1.431255;21.440369
18860;146.728468;127.921767;-18.806701;43.610500;1.431255;21.410072
18880;146.728468;127.921767;-18.806701;43.610500;1.431255;21.410072
18900;146.728468;127.921767;-18.806701;43.610500;1.431255;21.410072
18950;146.728468;128.000832;-18.727635;43.610500;1.431256;21.372237
18970;146.728468;128.000832;-18.727635;43.610500;1.431256;21.372237
18990;146.728468;128.000832;-18.727635;43.610500;1.431256;21.372237
19010;146.728468;128.000832;-18.727635;43.610500;1.431256;21.372237
19030;146.728468;128.000832;-18.727635;43.610500;1.431256;21.372237
19060;146.728468;128.080178;-18.648289;43.610500;1.431256;21.334443
19090;146.728468;128.080178;-18.648289;43.610500;1.431256;21.334443
19120;146.728468;128.080178;-18.648289;43.610500;1.431256;21.334443
19150;146.728468;128.080178;-18.648289;43.610500;1.431256;21.334443
19170;144.093752;128.191736;-15.902016;43.610500;1.431257;21.281600
19190;144.093752;128.191736;-15.902016;43.610500;1.431257;21.281600
19210;144.093752;128.191736;-15.902016;43.610500;1.431257;21.281600
19240;138.573838;128.303848;-10.269990;43.610500;1.431258;21.228839
19270;138.573838;128.303848;-10.269990;43.610500;1.431258;21.228839
19290;138.573838;128.303848;-10.269990;43.610500;1.431258;21.228839
19310;138.573838;128.303848;-10.269990;43.610500;1.431258;21.228839
19340;138.573838;128.303848;-10.269990;43.610500;1.431258;21.228839
19360;134.483635;128.400389;-6.083246;43.610500;1.431259;21.183680
19380;134.483635;128.400389;-6.083246;43.610500;1.431259;21.183680
19410;134.483635;128.400389;-6.083246;43.610500;1.431259;21.183680
19450;130.911892;128.497341;-2.414551;43.610500;1.431260;21.138581
19470;130.911892;128.497341;-2.414551;43.610500;1.431260;21.138581
19490;130.911892;128.497341;-2.414551;43.610500;1.431260;21.138581
19510;130.911892;128.497341;-2.414551;43.610500;1.431260;21.138581
19550;130.911892;128.497341;-2.414551;43.610500;1.431260;21.138581
19570;128.281080;128.578452;0.297372;43.610500;1.431260;21.101045
19590;128.281080;128.578452;0.297372;43.610500;1.431260;21.101045
19630;89.999998;128.659851;38.659853;43.610500;1.431261;21.063551
19650;89.999998;128.659851;38.659853;43.610500;1.431261;21.063551
19670;89.999998;128.659851;38.659853;43.610500;1.431261;21.063551
19690;89.999998;128.659851;38.659853;43.610500;1.431261;21.063551
19710;89.999998;128.659851;38.659853;43.610500;1.431261;21.063551
19750;89.999998;128.757913;38.757915;43.610500;1.431261;21.018616
19770;89.999998;128.757913;38.757915;43.610500;1.431261;21.018616
19790;89.999998;128.757913;38.757915;43.610500;1.431261;21.018616
19810;89.999998;128.757913;38.757915;43.610500;1.431261;21.018616
19840;89.999998;128.757913;38.757915;43.610500;1.431261;21.018616
19860;89.999998;128.856395;38.856397;43.610500;1.431262;20.973742
19880;89.999998;128.856395;38.856397;43.610500;1.431262;20.973742
19920;89.999998;128.955299;38.955301;43.610500;1.431263;20.928930
19950;89.999998;128.955299;38.955301;43.610500;1.431263;20.928930
19970;89.999998;128.955299;38.955301;43.610500;1.431263;20.928930
19990;89.999998;128.955299;38.955301;43.610500;1.431263;20.928930
20030;89.999998;129.038043;39.038046;43.610500;1.431263;20.891635
20050;89.999998;129.038043;39.038046;43.610500;1.431263;20.891635
20070;89.999998;129.038043;39.038046;43.610500;1.431263;20.891635
20090;89.999998;129.038043;39.038046;43.610500;1.431263;20.891635
20130;147.644113;129.038043;-18.606070;43.610500;1.431263;20.891635
20150;147.644113;128.205283;-19.438830;43.610497;1.431264;20.589375
20170;147.644113;128.205283;-19.438830;43.610497;1.431264;20.589375
20190;147.644113;128.205283;-19.438830;43.610497;1.431264;20.589375
20220;147.644113;128.205283;-19.438830;43.610497;1.431264;20.589375
20250;147.644113;128.205283;-19.438830;43.610497;1.431264;20.589375
20270;143.252335;128.288026;-14.964308;43.610497;1.431265;20.551688
20300;143.252335;128.288026;-14.964308;43.610497;1.431265;20.551688
20320;147.644113;128.404378;-19.239735;43.610497;1.431265;20.498998
20340;147.644113;128.404378;-19.239735;43.610497;1.431265;20.498998
20370;147.644113;128.404378;-19.239735;43.610497;1.431265;20.498998
20390;147.644113;128.404378;-19.239735;43.610497;1.431265;20.498998
20420;146.728466;128.521329;-18.207137;43.610497;1.431266;20.446393
20450;146.728466;128.521329;-18.207137;43.610497;1.431266;20.446393
20480;146.728466;128.521329;-18.207137;43.610497;1.431266;20.446393
20500;146.728466;128.521329;-18.207137;43.610497;1.431266;20.446393
20530;143.252335;128.672581;-14.579754;43.610497;1.431267;20.378883
20550;143.252335;128.672581;-14.579754;43.610497;1.431267;20.378883
20570;143.252335;128.672581;-14.579754;43.610497;1.431267;20.378883
20590;143.252335;128.672581;-14.579754;43.610497;1.431267;20.378883
20620;143.252335;128.672581;-14.579754;43.610497;1.431267;20.378883
20660;135.127404;128.858810;-6.268595;43.610497;1.431269;20.296567
20680;135.127404;128.858810;-6.268595;43.610497;1.431269;20.296567
20700;135.127404;128.858810;-6.268595;43.610497;1.431269;20.296567
20720;135.127404;128.858810;-6.268595;43.610497;1.431269;20.296567
20750;129.298492;128.858810;-0.439683;43.610497;1.431269;20.296567
20770;129.298492;129.029422;-0.269070;43.610497;1.431270;20.221921
20790;129.298492;129.029422;-0.269070;43.610497;1.431270;20.221921
20820;129.298492;129.029422;-0.269070;43.610497;1.431270;20.221921
20850;129.298492;129.029422;-0.269070;43.610497;1.431270;20.221921
20870;89.999998;129.132395;39.132397;43.610497;1.431271;20.177220
20890;89.999998;129.132395;39.132397;43.610497;1.431271;20.177220
20920;89.999998;129.132395;39.132397;43.610497;1.431271;20.177220
20960;89.999998;129.270403;39.270406;43.610497;1.431272;20.117720
20980;89.999998;129.270403;39.270406;43.610497;1.431272;20.117720
21000;89.999998;129.270403;39.270406;43.610497;1.431272;20.117720
21020;89.999998;129.270403;39.270406;43.610497;1.431272;20.117720
21050;89.999998;129.409230;39.409232;43.610497;1.431273;20.058338
21070;89.999998;129.409230;39.409232;43.610497;1.431273;20.058338
21090;89.999998;129.409230;39.409232;43.610497;1.431273;20.058338
21140;89.999998;129.409230;39.409232;43.610497;1.431273;20.058338
21160;89.999998;129.548880;39.548882;43.610497;1.431273;19.999074
21180;89.999998;129.548880;39.548882;43.610497;1.431273;19.999074
21200;89.999998;129.548880;39.548882;43.610497;1.431273;19.999074
21220;89.999998;129.548880;39.548882;43.610497;1.431273;19.999074
21250;89.999998;129.706977;39.706980;43.610497;1.431275;19.932546
21270;89.999998;129.706977;39.706980;43.610497;1.431275;19.932546
21290;89.999998;129.706977;39.706980;43.610497;1.431275;19.932546
21320;89.999998;129.706977;39.706980;43.610497;1.431275;19.932546
21350;89.999998;129.706977;39.706980;43.610497;1.431275;19.932546
21370;89.999998;129.866133;39.866135;43.610497;1.431276;19.866170
